Year,Country,Country (Code),Attribute,Sector (NACE rev. 2),Value
2008,Austria,AT,Number of persons employed,Agriculture,178550
2008,Austria,AT,Number of persons employed,Beverage,9182
2008,Austria,AT,Number of persons employed,Bio-based chemicals (excluding biofuels),1497.919729
2008,Austria,AT,Number of persons employed,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",8213.516076
2008,Austria,AT,Number of persons employed,Bio-based electricity,570.2959464
2008,Austria,AT,Number of persons employed,Bio-based pharmaceuticals,6429.922253
2008,Austria,AT,Number of persons employed,Bio-based textile,4190.680831
2008,Austria,AT,Number of persons employed,Bio-based textiles,10088.13652
2008,Austria,AT,Number of persons employed,Bio-based wearing apparel,2805.330684
2008,Austria,AT,Number of persons employed,Biodiesel,807.8765329
2008,Austria,AT,Number of persons employed,Bioeconomy,368647.1777
2008,Austria,AT,Number of persons employed,Bioethanol,0
2008,Austria,AT,Number of persons employed,Fishing and Aquaculture,330
2008,Austria,AT,Number of persons employed,Food,68537
2008,Austria,AT,Number of persons employed,"Food, beverage and tobacco",77719
2008,Austria,AT,Number of persons employed,Forestry,25570
2008,Austria,AT,Number of persons employed,Leather,3092.125
2008,Austria,AT,Number of persons employed,Liquid biofuels,807.8765329
2008,Austria,AT,Number of persons employed,Paper,18444.625
2008,Austria,AT,Number of persons employed,Rubber and bio-based plastics,285.6740947
2008,Austria,AT,Number of persons employed,Total sectors,3994100
2008,Austria,AT,Number of persons employed,Wood products,36265.90661
2008,Austria,AT,Number of persons employed,Wood products and furniture,48353.72761
2008,Austria,AT,Number of persons employed,Wooden furniture,12087.82099
2008,Belgium,BE,Number of persons employed,Agriculture,66400
2008,Belgium,BE,Number of persons employed,Beverage,10559
2008,Belgium,BE,Number of persons employed,Bio-based chemicals (excluding biofuels),2482.494978
2008,Belgium,BE,Number of persons employed,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",11874.11229
2008,Belgium,BE,Number of persons employed,Bio-based electricity,305.8383043
2008,Belgium,BE,Number of persons employed,Bio-based pharmaceuticals,8879.343972
2008,Belgium,BE,Number of persons employed,Bio-based textile,8621.848841
2008,Belgium,BE,Number of persons employed,Bio-based textiles,11039.44945
2008,Belgium,BE,Number of persons employed,Bio-based wearing apparel,2297.975611
2008,Belgium,BE,Number of persons employed,Biodiesel,476.9328749
2008,Belgium,BE,Number of persons employed,Bioeconomy,226861.1211
2008,Belgium,BE,Number of persons employed,Bioethanol,412.6078391
2008,Belgium,BE,Number of persons employed,Fishing and Aquaculture,600
2008,Belgium,BE,Number of persons employed,Food,88954
2008,Belgium,BE,Number of persons employed,"Food, beverage and tobacco",101037
2008,Belgium,BE,Number of persons employed,Forestry,2400
2008,Belgium,BE,Number of persons employed,Leather,119.625
2008,Belgium,BE,Number of persons employed,Liquid biofuels,889.540714
2008,Belgium,BE,Number of persons employed,Paper,11778
2008,Belgium,BE,Number of persons employed,Rubber and bio-based plastics,512.2733381
2008,Belgium,BE,Number of persons employed,Tobacco,1524
2008,Belgium,BE,Number of persons employed,Total sectors,4445900
2008,Belgium,BE,Number of persons employed,Wood products,13352.8773
2008,Belgium,BE,Number of persons employed,Wood products and furniture,20537.18031
2008,Belgium,BE,Number of persons employed,Wooden furniture,7184.303005
2008,Bulgaria,BG,Number of persons employed,Agriculture,716970
2008,Bulgaria,BG,Number of persons employed,Beverage,17073
2008,Bulgaria,BG,Number of persons employed,Bio-based chemicals (excluding biofuels),1631.298322
2008,Bulgaria,BG,Number of persons employed,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",4798.564616
2008,Bulgaria,BG,Number of persons employed,Bio-based electricity,4.91173456
2008,Bulgaria,BG,Number of persons employed,Bio-based pharmaceuticals,2888.568973
2008,Bulgaria,BG,Number of persons employed,Bio-based textile,8049.349154
2008,Bulgaria,BG,Number of persons employed,Bio-based textiles,68225.69286
2008,Bulgaria,BG,Number of persons employed,Bio-based wearing apparel,52754.70535
2008,Bulgaria,BG,Number of persons employed,Biodiesel,0
2008,Bulgaria,BG,Number of persons employed,Bioeconomy,966586.0614
2008,Bulgaria,BG,Number of persons employed,Bioethanol,278.0768459
2008,Bulgaria,BG,Number of persons employed,Fishing and Aquaculture,1080
2008,Bulgaria,BG,Number of persons employed,Food,89381
2008,Bulgaria,BG,Number of persons employed,"Food, beverage and tobacco",110696
2008,Bulgaria,BG,Number of persons employed,Forestry,18530
2008,Bulgaria,BG,Number of persons employed,Leather,7421.638362
2008,Bulgaria,BG,Number of persons employed,Liquid biofuels,278.0768459
2008,Bulgaria,BG,Number of persons employed,Paper,9106
2008,Bulgaria,BG,Number of persons employed,Rubber and bio-based plastics,278.697321
2008,Bulgaria,BG,Number of persons employed,Tobacco,4242
2008,Bulgaria,BG,Number of persons employed,Total sectors,3360700
2008,Bulgaria,BG,Number of persons employed,Wood products,18494.66322
2008,Bulgaria,BG,Number of persons employed,Wood products and furniture,36896.81536
2008,Bulgaria,BG,Number of persons employed,Wooden furniture,18402.15214
2008,Croatia,HR,Number of persons employed,Agriculture,184850
2008,Croatia,HR,Number of persons employed,Beverage,8613
2008,Croatia,HR,Number of persons employed,Bio-based chemicals (excluding biofuels),411.9400504
2008,Croatia,HR,Number of persons employed,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",2774.892039
2008,Croatia,HR,Number of persons employed,Bio-based electricity,4.239478686
2008,Croatia,HR,Number of persons employed,Bio-based pharmaceuticals,2169.296816
2008,Croatia,HR,Number of persons employed,Bio-based textile,2772.130057
2008,Croatia,HR,Number of persons employed,Bio-based textiles,18741.73084
2008,Croatia,HR,Number of persons employed,Bio-based wearing apparel,11660.47578
2008,Croatia,HR,Number of persons employed,Biodiesel,58.9950107
2008,Croatia,HR,Number of persons employed,Bioeconomy,348809.816
2008,Croatia,HR,Number of persons employed,Bioethanol,19.75530034
2008,Croatia,HR,Number of persons employed,Fishing and Aquaculture,10670
2008,Croatia,HR,Number of persons employed,Food,58901
2008,Croatia,HR,Number of persons employed,"Food, beverage and tobacco",68373
2008,Croatia,HR,Number of persons employed,Forestry,31410
2008,Croatia,HR,Number of persons employed,Leather,4309.125
2008,Croatia,HR,Number of persons employed,Liquid biofuels,78.75031105
2008,Croatia,HR,Number of persons employed,Paper,4302.125
2008,Croatia,HR,Number of persons employed,Rubber and bio-based plastics,193.6551724
2008,Croatia,HR,Number of persons employed,Tobacco,859
2008,Croatia,HR,Number of persons employed,Total sectors,1770500
2008,Croatia,HR,Number of persons employed,Wood products,19747.97384
2008,Croatia,HR,Number of persons employed,Wood products and furniture,27605.07833
2008,Croatia,HR,Number of persons employed,Wooden furniture,7857.104487
2008,Cyprus,CY,Number of persons employed,Agriculture,16100
2008,Cyprus,CY,Number of persons employed,Beverage,1905
2008,Cyprus,CY,Number of persons employed,Bio-based chemicals (excluding biofuels),62.82023244
2008,Cyprus,CY,Number of persons employed,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",614.7720054
2008,Cyprus,CY,Number of persons employed,Bio-based electricity,5.333198121
2008,Cyprus,CY,Number of persons employed,Bio-based pharmaceuticals,537.4166266
2008,Cyprus,CY,Number of persons employed,Bio-based textile,214.7933368
2008,Cyprus,CY,Number of persons employed,Bio-based textiles,738.1964815
2008,Cyprus,CY,Number of persons employed,Bio-based wearing apparel,468.6531447
2008,Cyprus,CY,Number of persons employed,Biodiesel,7.097176362
2008,Cyprus,CY,Number of persons employed,Bioeconomy,36399.10921
2008,Cyprus,CY,Number of persons employed,Fishing and Aquaculture,510
2008,Cyprus,CY,Number of persons employed,Food,11202
2008,Cyprus,CY,Number of persons employed,"Food, beverage and tobacco",13107
2008,Cyprus,CY,Number of persons employed,Forestry,440
2008,Cyprus,CY,Number of persons employed,Leather,54.75
2008,Cyprus,CY,Number of persons employed,Liquid biofuels,7.097176362
2008,Cyprus,CY,Number of persons employed,Paper,726
2008,Cyprus,CY,Number of persons employed,Rubber and bio-based plastics,14.53514629
2008,Cyprus,CY,Number of persons employed,Total sectors,382900
2008,Cyprus,CY,Number of persons employed,Wood products,3363.511943
2008,Cyprus,CY,Number of persons employed,Wood products and furniture,4150.710345
2008,Cyprus,CY,Number of persons employed,Wooden furniture,787.1984023
2008,Czechia,CZ,Number of persons employed,Agriculture,138490
2008,Czechia,CZ,Number of persons employed,Beverage,17589
2008,Czechia,CZ,Number of persons employed,Bio-based chemicals (excluding biofuels),873.5579439
2008,Czechia,CZ,Number of persons employed,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",7421.019693
2008,Czechia,CZ,Number of persons employed,Bio-based pharmaceuticals,3664.742163
2008,Czechia,CZ,Number of persons employed,Bio-based textile,10443.2231
2008,Czechia,CZ,Number of persons employed,Bio-based textiles,20357.82601
2008,Czechia,CZ,Number of persons employed,Bio-based wearing apparel,9070.477907
2008,Czechia,CZ,Number of persons employed,Bioeconomy,401444.8464
2008,Czechia,CZ,Number of persons employed,Fishing and Aquaculture,1060
2008,Czechia,CZ,Number of persons employed,Food,107650
2008,Czechia,CZ,Number of persons employed,"Food, beverage and tobacco",125239
2008,Czechia,CZ,Number of persons employed,Forestry,28840
2008,Czechia,CZ,Number of persons employed,Leather,844.125
2008,Czechia,CZ,Number of persons employed,Paper,14667
2008,Czechia,CZ,Number of persons employed,Rubber and bio-based plastics,2882.719587
2008,Czechia,CZ,Number of persons employed,Total sectors,5002500
2008,Czechia,CZ,Number of persons employed,Wood products,54386.52923
2008,Czechia,CZ,Number of persons employed,Wood products and furniture,65370.00065
2008,Czechia,CZ,Number of persons employed,Wooden furniture,10983.47142
2008,Denmark,DK,Number of persons employed,Agriculture,66000
2008,Denmark,DK,Number of persons employed,Beverage,4662
2008,Denmark,DK,Number of persons employed,Bio-based chemicals (excluding biofuels),1493.868693
2008,Denmark,DK,Number of persons employed,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",10639.01376
2008,Denmark,DK,Number of persons employed,Bio-based electricity,394.2610061
2008,Denmark,DK,Number of persons employed,Bio-based pharmaceuticals,8980.458377
2008,Denmark,DK,Number of persons employed,Bio-based textile,1448.034424
2008,Denmark,DK,Number of persons employed,Bio-based textiles,2315.252966
2008,Denmark,DK,Number of persons employed,Bio-based wearing apparel,758.9343069
2008,Denmark,DK,Number of persons employed,Biodiesel,41.22842893
2008,Denmark,DK,Number of persons employed,Bioeconomy,184988.4002
2008,Denmark,DK,Number of persons employed,Fishing and Aquaculture,3000
2008,Denmark,DK,Number of persons employed,Food,63919
2008,Denmark,DK,Number of persons employed,"Food, beverage and tobacco",69524
2008,Denmark,DK,Number of persons employed,Forestry,5000
2008,Denmark,DK,Number of persons employed,Leather,108.2842349
2008,Denmark,DK,Number of persons employed,Liquid biofuels,41.22842893
2008,Denmark,DK,Number of persons employed,Paper,6666.25
2008,Denmark,DK,Number of persons employed,Rubber and bio-based plastics,164.6866886
2008,Denmark,DK,Number of persons employed,Tobacco,943
2008,Denmark,DK,Number of persons employed,Total sectors,2806200
2008,Denmark,DK,Number of persons employed,Wood products,12456
2008,Denmark,DK,Number of persons employed,Wood products and furniture,21408.39409
2008,Denmark,DK,Number of persons employed,Wooden furniture,8952.394086
2008,Estonia,EE,Number of persons employed,Agriculture,17880
2008,Estonia,EE,Number of persons employed,Beverage,1965
2008,Estonia,EE,Number of persons employed,Bio-based chemicals (excluding biofuels),172.1368272
2008,Estonia,EE,Number of persons employed,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",365.1926836
2008,Estonia,EE,Number of persons employed,Bio-based electricity,8.645363289
2008,Estonia,EE,Number of persons employed,Bio-based pharmaceuticals,120.5
2008,Estonia,EE,Number of persons employed,Bio-based textile,1708.538807
2008,Estonia,EE,Number of persons employed,Bio-based textiles,5359.318345
2008,Estonia,EE,Number of persons employed,Bio-based wearing apparel,2995.787843
2008,Estonia,EE,Number of persons employed,Biodiesel,0
2008,Estonia,EE,Number of persons employed,Bioeconomy,71429.09619
2008,Estonia,EE,Number of persons employed,Bioethanol,5.172231822
2008,Estonia,EE,Number of persons employed,Fishing and Aquaculture,1330
2008,Estonia,EE,Number of persons employed,Food,14159
2008,Estonia,EE,Number of persons employed,"Food, beverage and tobacco",16124
2008,Estonia,EE,Number of persons employed,Forestry,6570
2008,Estonia,EE,Number of persons employed,Leather,654.9916956
2008,Estonia,EE,Number of persons employed,Liquid biofuels,5.172231822
2008,Estonia,EE,Number of persons employed,Paper,844.375
2008,Estonia,EE,Number of persons employed,Rubber and bio-based plastics,72.55585635
2008,Estonia,EE,Number of persons employed,Total sectors,656000
2008,Estonia,EE,Number of persons employed,Wood products,16945.04736
2008,Estonia,EE,Number of persons employed,Wood products and furniture,22942.39257
2008,Estonia,EE,Number of persons employed,Wooden furniture,5997.345206
2008,"European Union (27 countries, from 01/02/2020)",EU27,Number of persons employed,Agriculture,11382700
2008,"European Union (27 countries, from 01/02/2020)",EU27,Number of persons employed,Beverage,430743
2008,"European Union (27 countries, from 01/02/2020)",EU27,Number of persons employed,Bio-based chemicals (excluding biofuels),74155.74029
2008,"European Union (27 countries, from 01/02/2020)",EU27,Number of persons employed,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",368248.5619
2008,"European Union (27 countries, from 01/02/2020)",EU27,Number of persons employed,Bio-based electricity,6782.850606
2008,"European Union (27 countries, from 01/02/2020)",EU27,Number of persons employed,Bio-based pharmaceuticals,241278.5956
