,movie,year,imdb,metascore,votes
0,Gladiator,2000,8.5,67.0,1187559
1,Memento,2000,8.5,80.0,1014199
2,Snatch,2000,8.3,,707162
3,Requiem for a Dream,2000,8.3,68.0,688394
4,X-Men,2000,7.4,64.0,526411
5,Cast Away,2000,7.8,73.0,465125
6,American Psycho,2000,7.6,64.0,422475
7,Unbreakable,2000,7.3,62.0,335334
8,Meet the Parents,2000,7.0,73.0,290126
9,Mission: Impossible II,2000,6.1,,286465
10,"O Brother, Where Art Thou?",2000,7.8,69.0,261119
11,Gone in Sixty Seconds,2000,6.5,,243247
12,Wo hu cang long,2000,7.9,93.0,237498
13,The Patriot,2000,7.2,63.0,234473
14,Almost Famous,2000,7.9,90.0,232474
15,Pitch Black,2000,7.1,,212215
16,Scary Movie,2000,6.2,,212038
17,Final Destination,2000,6.7,,207634
18,"Me, Myself & Irene",2000,6.6,,207542
19,The Beach,2000,6.6,,205329
20,Amores perros,2000,8.1,83.0,204468
21,Traffic,2000,7.6,86.0,184710
22,Remember the Titans,2000,7.8,,182238
23,How the Grinch Stole Christmas,2000,6.1,,181151
24,What Women Want,2000,6.4,,178459
25,Chocolat,2000,7.3,64.0,166739
26,Miss Congeniality,2000,6.2,,166121
27,Chicken Run,2000,7.0,88.0,161403
28,Charlie's Angels,2000,5.5,,161175
29,Batoru rowaiaru,2000,7.7,81.0,157589
30,High Fidelity,2000,7.5,79.0,157024
31,The Emperor's New Groove,2000,7.3,70.0,156918
32,Erin Brockovich,2000,7.3,73.0,156488
33,Road Trip,2000,6.5,,146988
34,The Perfect Storm,2000,6.4,,145539
35,"Dude, Where's My Car?",2000,5.5,,127520
36,Hollow Man,2000,5.7,,113534
37,Scream 3,2000,5.6,,112795
38,Billy Elliot,2000,7.7,74.0,112664
39,Shanghai Noon,2000,6.6,77.0,110410
40,The 6th Day,2000,5.9,,109478
41,What Lies Beneath,2000,6.6,,109084
42,Malcolm in the Middle,2000,8.0,,107426
43,Pay It Forward,2000,7.2,,106347
44,Faa yeung nin wa,2000,8.1,85.0,103042
45,The Whole Nine Yards,2000,6.7,,101292
46,Coyote Ugly,2000,5.7,,99889
47,Men of Honor,2000,7.2,,99843
48,The Family Man,2000,6.8,,96276
49,Frequency,2000,7.4,67.0,93428
50,Gladiator,2000,8.5,67.0,1187559
51,Memento,2000,8.5,80.0,1014199
52,Snatch,2000,8.3,,707162
53,Requiem for a Dream,2000,8.3,68.0,688394
54,X-Men,2000,7.4,64.0,526411
55,Cast Away,2000,7.8,73.0,465125
56,American Psycho,2000,7.6,64.0,422475
57,Unbreakable,2000,7.3,62.0,335334
58,Meet the Parents,2000,7.0,73.0,290126
59,Mission: Impossible II,2000,6.1,,286465
60,"O Brother, Where Art Thou?",2000,7.8,69.0,261119
61,Gone in Sixty Seconds,2000,6.5,,243247
62,Wo hu cang long,2000,7.9,93.0,237498
63,The Patriot,2000,7.2,63.0,234473
64,Almost Famous,2000,7.9,90.0,232474
65,Pitch Black,2000,7.1,,212215
66,Scary Movie,2000,6.2,,212038
67,Final Destination,2000,6.7,,207634
68,"Me, Myself & Irene",2000,6.6,,207542
69,The Beach,2000,6.6,,205329
70,Amores perros,2000,8.1,83.0,204468
71,Traffic,2000,7.6,86.0,184710
72,Remember the Titans,2000,7.8,,182238
73,How the Grinch Stole Christmas,2000,6.1,,181151
74,What Women Want,2000,6.4,,178459
75,Chocolat,2000,7.3,64.0,166739
76,Miss Congeniality,2000,6.2,,166121
