Set,Price_Euro,Pieces,Minifigs
Corner Garage,179.99,2569.0,
Ford Mustang,139.99,1471.0,
NASA Apollo 11 Lunar Lander,99.99,1087.0,
Gingerbread House,89.99,1477.0,
Harley-Davidson Fat Boy,89.99,1023.0,
Woody & RC,9.74,69.0,1.0
Duke Caboom's Stunt Show,19.49,120.0,
Buzz and Bo Peep's Playground Adventure,24.36,139.0,
RV Vacation,34.11,178.0,
Buzz & Woody's Carnival Mania!,49.99,230.0,
Carnival Thrill Coaster,19.49,98.0,2.0
My First Tow Truck,9.74,11.0,
My First Balancing Animals,14.61,15.0,
My First Fun Puzzle,19.49,15.0,
My First Car Creations,19.99,34.0,
Creative Fun,34.99,120.0,1.0
Mickey's Vacation House,48.73,57.0,
Spider-Man vs. Electro,19.99,29.0,
Toy Story Train,19.99,21.0,
Emmet and Lucy's Visitors from the DUPLO Planet,29.99,53.0,
My First Minnie Build,9.99,10.0,
My First Mickey Build,9.74,9.0,
Frozen Ice Castle,49.99,59.0,
Police Bike,9.99,8.0,
Fire Truck,19.99,21.0,
Police Station,29.99,38.0,
Fire Station,49.99,76.0,2.0
Baby Animals,9.74,9.0,
Tropical Island,59.99,73.0,
World Animals,99.99,121.0,
Plane,9.99,12.0,
Submarine Adventure,19.99,24.0,2.0
Bricks and Ideas,9.99,123.0,
Basic Brick Set ,19.99,300.0,
Bricks and Eyes ,29.23,451.0,
Windows of Creativity,29.23,450.0,
Creative Fun,34.11,900.0,
Star Wars: Build Your Own Adventure Galactic Missions parts,,66.0,1.0
Parts for The Book of Bedtime Builds,,,
Harry Potter: Build Your Own Adventure parts,,101.0,1.0
Christmas Ideas parts,,41.0,
Wooden Minifigure parts,,29.0,
San Francisco,49.99,565.0,
Paris,49.99,649.0,
Trafalgar Square,79.99,1197.0,
Empire State Building,99.99,1767.0,
Burj Khalifa,39.99,333.0,
Minecraft Steve BigFig with Parrot,14.99,159.0,
Minecraft Alex BigFig with Chicken,14.99,160.0,
Minecraft Skeleton BigFig with Magma Cube,14.99,142.0,
The End Battle,19.99,222.0,
Pirate Ship,49.99,386.0,
The Wool Farm,19.99,260.0,1.0
The Blaze Bridge,39.99,372.0,
The Creeper Mine,79.99,834.0,
The Flintstones,58.48,748.0,
Steamboat Willie,87.72,751.0,
Tree House,199.99,3036.0,
Central Perk,79.99,1070.0,
Dinosaur Fossils,59.99,910.0,
My First Duck,,6.0,
Town Rescue - {Random Bag},,,
Town Rescue - Bird,,,
Town Rescue - Fireman,,,
Town Rescue - Cat,,,
Town Rescue - Policewoman,,,
Town Rescue - Dog,,,
Emmet's 'Piece' Offering,3.99,44.0,1.0
Fire ATV,,39.0,1.0
Sky Police Jetpack,,33.0,
Race Boat,3.99,34.0,
Popcorn Cart,,43.0,
Space Satellite,,36.0,
Naboo Starfighter,,48.0,
Snowspeeder,,49.0,
Steve and Creeper Set,,36.0,2.0
Tulips,,90.0,
Emma's Bumper Cars,3.99,66.0,
Mia's Water Fun,,28.0,
Spider-Man's Mini Spider Crawler,,73.0,1.0
Iron Man and Dum-E,,38.0,
Rex's Plantimal Ambush,3.89,32.0,
Podracer,,58.0,
Lucy vs. Alien Invader,,44.0,1.0
Mini Master-Building MetalBeard,,42.0,
Mini Master-Building Emmet,3.89,49.0,1.0
Sam-X,,56.0,
Ninja Workout,,31.0,
Fire Flight,,54.0,1.0
Fish Free Builds - Make It Yours,,39.0,
Elsa's Winter Throne,3.99,42.0,1.0
Pelican,3.89,62.0,
Race Car,3.99,68.0,
Santa,,67.0,
Star-Stuck Emmet,,41.0,
SHAZAM!,,5.0,
Obi-Wan Kenobi - Collectable Minifigure,,12.0,
Futuristic Flyer,14.61,157.0,
Dune Buggy,12.66,147.0,
Deep Sea Creatures,14.99,230.0,
Sunset Track Racer,19.99,221.0,
Underwater Robot,19.99,207.0,
Shuttle Transporter,24.36,341.0,
Helicopter Adventure,9.74,114.0,
Riverside Houseboat,29.99,396.0,
Race Plane,29.23,333.0,
Fairground Carousel,48.73,595.0,
Twin-Rotor Helicopter,48.73,569.0,
Townhouse Pet Shop & Café,79.99,969.0,
Outback Cabin,29.23,305.0,
Year of the Pig,,152.0,
MSC Cruises,,181.0,
Jet Fighter,,23.0,
Caterpillar,,48.0,
Viking Ship,,54.0,
Ladybird,,27.0,
Crane,,64.0,
Frog,,39.0,
Ice Cream Truck,,48.0,
Racing Car,,50.0,
Eagle,,56.0,
UFO,,36.0,
Wolf,,47.0,
Penguin,,47.0,
Battle of Hoth - 20th Anniversary Edition,,195.0,
Avengers Tower,,211.0,
Space Rocket Ride,,154.0,
Newbury Juice Bar,,127.0,
Microscale Gingerbread House,19.48,499.0,
Christmas Tree,,392.0,
Sea Accessories,3.99,24.0,
Ninjago Minifigure Pack,12.99,59.0,
Spider-Man and the Museum Break-In,14.61,49.0,
Summer Celebration Minifigure Pack,12.99,45.0,
Mars Exploration Minifigure Pack,12.66,44.0,
LEGOLAND,,1336.0,
LEGOLAND Driving School,,209.0,
Birthday Clown,9.99,150.0,
Valentine's Puppy,9.99,147.0,
Easter Chick,9.99,120.0,
Halloween Ghost,9.74,136.0,
Thanksgiving Scarecrow,9.99,177.0,
"Reindeer, Elf and Elfie",19.99,281.0,
Dragon Dance Guy,9.99,170.0,
LEGO House Exclusive Minifigure 2019,,7.0,
LEGO Store Picture Frame,14.99,170.0,
Name Sign,9.99,91.0,
Olaf's Traveling Sleigh,,97.0,1.0
Battle of Endor,,197.0,
LEGO House Dinosaurs,,864.0,
Lady Liberty,9.99,153.0,
Xmas Accessories,3.99,32.0,
Rebuild the World minifigure,,6.0,
1989 Batmobile - Limited Edition,,366.0,
Reindeer,,77.0,
Plants from Plants,,29.0,
Jasmine's Petite Tower,9.99,49.0,
Cinderella's Carriage Ride,19.99,91.0,1.0
Ariel's Castle,24.99,115.0,
Aladdin's and Jasmine's Palace Adventures,29.99,193.0,
"Ariel, Aurora, and Tiana's Royal Celebration",44.99,282.0,
Rapunzel's Small Tower,9.99,44.0,
Enchanted Tree House,48.73,302.0,
Anna's Canoe Expedition,19.99,108.0,2.0
Elsa and the Reindeer Carriage,29.99,116.0,1.0
Arendelle Castle,79.99,521.0,
Elsa's Jewellery Box,39.99,300.0,1.0
Olaf,14.61,122.0,
Underwater Loop,29.23,389.0,
